time,value
0.102440000,0.000000
0.102449998,0.003092
0.102459997,0.006184
0.102470003,0.009275
0.102480002,0.012365
0.102490000,0.015452
0.102499999,0.018537
0.102509998,0.021619
0.102519996,0.024698
0.102530003,0.027773
0.102540001,0.030843
0.102550000,0.033909
0.102559999,0.036969
0.102569997,0.040023
0.102580003,0.043071
0.102590002,0.046113
0.102600001,0.049147
0.102609999,0.052173
0.102619998,0.055191
0.102629997,0.058200
0.102640003,0.061200
0.102650002,0.064191
0.102660000,0.067171
0.102669999,0.070140
0.102679998,0.073099
0.102689996,0.076046
0.102700002,0.078981
0.102710001,0.081904
0.102720000,0.084813
0.102729999,0.087709
0.102739997,0.090592
0.102750003,0.093460
0.102760002,0.096313
0.102770001,0.099151
0.102779999,0.101974
0.102789998,0.104780
0.102799997,0.107570
0.102810003,0.110343
0.102820002,0.113098
0.102830000,0.115836
0.102839999,0.118555
0.102849998,0.121255
0.102860004,0.123937
0.102870002,0.126599
0.102880001,0.129240
0.102890000,0.131862
0.102899998,0.134462
0.102909997,0.137042
0.102920003,0.139599
0.102930002,0.142135
0.102940001,0.144648
0.102949999,0.147139
0.102959998,0.149606
0.102969997,0.152049
0.102980003,0.154469
0.102990001,0.156864
0.103000000,0.159234
0.103009999,0.161579
0.103019997,0.163899
0.103030004,0.166193
0.103040002,0.168460
0.103050001,0.170701
0.103060000,0.172915
0.103069998,0.175102
0.103079997,0.177261
0.103090003,0.179392
0.103100002,0.181495
0.103110000,0.183569
0.103119999,0.185614
0.103129998,0.187630
0.103139997,0.189616
0.103150003,0.191572
0.103160001,0.193498
0.103170000,0.195393
0.103179999,0.197258
0.103189997,0.199091
0.103200004,0.200893
0.103210002,0.202663
0.103220001,0.204402
0.103230000,0.206107
0.103239998,0.207781
0.103249997,0.209421
0.103260003,0.211029
0.103270002,0.212603
0.103280000,0.214144
0.103289999,0.215650
0.103299998,0.217123
0.103309996,0.218562
0.103320003,0.219966
0.103330001,0.221335
0.103340000,0.222669
0.103349999,0.223968
0.103359997,0.225232
0.103370003,0.226460
0.103380002,0.227652
0.103390001,0.228809
0.103399999,0.229929
0.103409998,0.231013
0.103419997,0.232061
0.103430003,0.233072
0.103440002,0.234046
0.103450000,0.234983
0.103459999,0.235883
0.103469998,0.236746
0.103479996,0.237571
0.103490002,0.238359
0.103500001,0.239109
0.103510000,0.239822
0.103519998,0.240496
0.103529997,0.241133
0.103540003,0.241731
0.103550002,0.242292
0.103560001,0.242814
0.103569999,0.243298
0.103579998,0.243743
0.103589997,0.244150
0.103600003,0.244518
0.103610002,0.244848
0.103620000,0.245139
0.103629999,0.245391
0.103639998,0.245605
0.103650004,0.245779
0.103660002,0.245915
0.103670001,0.246012
0.103680000,0.246071
0.103689998,0.246090
0.103699997,0.246071
0.103710003,0.246012
0.103720002,0.245915
0.103730001,0.245779
0.103739999,0.245605
0.103749998,0.245391
0.103759997,0.245139
0.103770003,0.244848
0.103780001,0.244518
0.103790000,0.244150
0.103799999,0.243743
0.103809997,0.243298
0.103820004,0.242814
0.103830002,0.242292
0.103840001,0.241731
0.103850000,0.241133
0.103859998,0.240496
0.103869997,0.239822
0.103880003,0.239109
0.103890002,0.238359
0.103900000,0.237571
0.103909999,0.236746
0.103919998,0.235883
0.103929996,0.234983
0.103940003,0.234046
0.103950001,0.233072
0.103960000,0.232061
0.103969999,0.231013
0.103979997,0.229929
0.103990003,0.228809
0.104000002,0.227652
0.104010001,0.226460
0.104020000,0.225232
0.104029998,0.223968
0.104039997,0.222669
0.104050003,0.221335
0.104060002,0.219966
0.104070000,0.218562
0.104079999,0.217123
0.104089998,0.215650
0.104099996,0.214144
0.104110003,0.212603
0.104120001,0.211029
0.104130000,0.209421
0.104139999,0.207781
0.104149997,0.206107
0.104160003,0.204402
0.104170002,0.202663
0.104180001,0.200893
0.104189999,0.199091
0.104199998,0.197258
0.104209997,0.195393
0.104220003,0.193498
0.104230002,0.191572
0.104240000,0.189616
0.104249999,0.187630
0.104259998,0.185614
0.104269996,0.183569
0.104280002,0.181495
0.104290001,0.179392
0.104300000,0.177261
0.104309998,0.175102
0.104319997,0.172915
0.104330003,0.170701
0.104340002,0.168460
0.104350001,0.166193
0.104359999,0.163899
0.104369998,0.161579
0.104379997,0.159234
0.104390003,0.156864
0.104400001,0.154469
0.104410000,0.152049
0.104419999,0.149606
0.104429998,0.147139
0.104440004,0.144648
0.104450002,0.142135
0.104460001,0.139599
0.104470000,0.137042
0.104479998,0.134462
0.104489997,0.131862
0.104500003,0.129240
0.104510002,0.126599
0.104520001,0.123937
0.104529999,0.121255
0.104539998,0.118555
0.104549997,0.115836
0.104560003,0.113098
0.104570001,0.110343
0.104580000,0.107570
0.104589999,0.104780
0.104599997,0.101974
0.104610004,0.102205
0.104620002,0.102421
0.104630001,0.102620
0.104640000,0.102803
0.104649998,0.102969
0.104659997,0.103120
0.104670003,0.103254
0.104680002,0.103372
0.104690000,0.103474
0.104699999,0.103559
0.104709998,0.103628
0.104719996,0.103680
0.104730003,0.103716
0.104740001,0.103736
0.104750000,0.103739
0.104759999,0.103726
0.104769997,0.103697
0.104780003,0.103651
0.104790002,0.103589
0.104800001,0.103510
0.104809999,0.103416
0.104819998,0.103304
0.104829997,0.103177
0.104840003,0.103033
0.104850002,0.102873
0.104860000,0.102697
0.104869999,0.102504
0.104879998,0.102296
0.104889996,0.102071
0.104900002,0.101830
0.104910001,0.101573
0.104920000,0.101300
0.104929999,0.101011
0.104939997,0.100706
0.104950003,0.100385
0.104960002,0.100048
0.104970001,0.099695
0.104979999,0.099327
0.104989998,0.098943
0.104999997,0.098543
0.105010003,0.098128
0.105020002,0.097697
0.105030000,0.097251
0.105039999,0.096790
0.105049998,0.096313
0.105060004,0.095821
0.105070002,0.095314
0.105080001,0.094792
0.105090000,0.094255
0.105099998,0.093703
0.105109997,0.093136
0.105120003,0.092554
0.105130002,0.091958
0.105140001,0.091347
0.105149999,0.090722
0.105159998,0.090083
0.105169997,0.089429
0.105180003,0.088762
0.105190001,0.088080
0.105200000,0.087384
0.105209999,0.086675
0.105219997,0.085952
0.105230004,0.085215
0.105240002,0.084465
0.105250001,0.083701
0.105260000,0.082924
0.105269998,0.082135
0.105279997,0.081332
0.105290003,0.080516
0.105300002,0.079688
0.105310000,0.078847
0.105319999,0.077993
0.105329998,0.077128
0.105339997,0.076250
0.105350003,0.075360
0.105360001,0.074458
0.105370000,0.073544
0.105379999,0.072619
0.105389997,0.071682
0.105400003,0.070734
0.105410002,0.069775
0.105420001,0.068805
0.105430000,0.067824
0.105439998,0.066832
0.105449997,0.065830
0.105460003,0.064817
0.105470002,0.063794
0.105480000,0.062761
0.105489999,0.061718
0.105499998,0.060666
0.105509996,0.059603
0.105520003,0.058532
0.105530001,0.057451
0.105540000,0.056361
0.105549999,0.055262
0.105559997,0.054154
0.105570003,0.053038
