time,value
0.002780000,0.000000
0.002800000,0.011398
0.002830000,0.022793
0.002850000,0.034184
0.002870000,0.045568
0.002890000,0.056942
0.002920000,0.068305
0.002940000,0.079654
0.002960000,0.090987
0.002980000,0.102302
0.003010000,0.113595
0.003030000,0.124866
0.003050000,0.136111
0.003070000,0.147329
0.003100000,0.158517
0.003120000,0.169673
0.003140000,0.180794
0.003170000,0.191878
0.003190000,0.202924
0.003210000,0.213928
0.003230000,0.224889
0.003260000,0.235804
0.003280000,0.246672
0.003300000,0.257489
0.003320000,0.268254
0.003350000,0.278964
0.003370000,0.289618
0.003390000,0.300214
0.003410000,0.310748
0.003440000,0.321219
0.003460000,0.331625
0.003480000,0.341964
0.003510000,0.352233
0.003530000,0.362431
0.003550000,0.372555
0.003570000,0.382603
0.003600000,0.392574
0.003620000,0.402465
0.003640000,0.412275
0.003660000,0.422000
0.003670000,0.000000
0.003690000,0.437196
0.003710000,0.441193
0.003720000,0.011109
0.003730000,0.450656
0.003740000,0.016661
0.003760000,0.482237
0.003780000,0.497059
0.003800000,0.478488
0.003810000,0.033291
0.003820000,0.487574
0.003830000,0.038823
0.003850000,0.540907
0.003870000,0.555308
0.003890000,0.514230
0.003900000,0.055366
0.003910000,0.522909
0.003920000,0.060859
0.003940000,0.597822
0.003960000,0.611754
0.003980000,0.548302
0.003990000,0.077260
0.004000000,0.556546
0.004010000,0.082697
0.004030000,0.652795
0.004050000,0.572693
0.004060000,0.093520
0.004070000,0.580594
0.004080000,0.098904
0.004100000,0.692643
0.004120000,0.705648
0.004140000,0.603581
0.004150000,0.114929
0.004160000,0.611000
0.004170000,0.120226
0.004190000,0.743794
0.004210000,0.756210
0.004230000,0.632508
0.004240000,0.135965
0.004250000,0.639423
0.004260000,0.141158
0.004280000,0.792529
0.004300000,0.804317
0.004320000,0.659382
0.004330000,0.156560
0.004340000,0.665769
0.004350000,0.161632
0.004370000,0.838692
0.004390000,0.678136
0.004400000,0.171676
0.004410000,0.684114
0.004420000,0.176646
0.004440000,0.871534
0.004460000,0.882131
0.004480000,0.701210
0.004490000,0.191338
0.004500000,0.706625
0.004510000,0.196159
0.004530000,0.912837
0.004550000,0.922705
0.004570000,0.722007
0.004580000,0.210379
0.004590000,0.726842
0.004600000,0.215035
0.004620000,0.951177
0.004640000,0.736069
0.004650000,0.224214
0.004660000,0.740459
0.004670000,0.228736
0.004680000,0.744699
0.004690000,0.233212
0.004710000,0.986428
0.004730000,0.752724
0.004740000,0.242020
0.004750000,0.756508
0.004760000,0.246351
0.004780000,1.010770
0.004800000,1.018476
0.004820000,0.766934
0.004830000,0.259041
0.004840000,0.770099
0.004850000,0.263166
0.004870000,1.040347
0.004890000,1.047217
0.004910000,0.778654
0.004920000,0.275220
0.004930000,0.781191
0.004940000,0.279127
0.004960000,1.066546
0.004980000,0.785787
0.004990000,0.286771
0.005000000,0.787846
0.005010000,0.290505
0.005020000,0.789745
0.005030000,0.294181
0.005050000,1.089282
0.005070000,0.793063
0.005080000,0.301353
0.005090000,0.794480
0.005100000,0.304848
0.005120000,1.104016
0.005140000,1.108481
0.005160000,0.797763
0.005170000,0.314957
0.005180000,0.798534
0.005190000,0.318200
0.005210000,1.120521
0.005230000,1.124080
0.005250000,0.799873
0.005260000,0.327538
0.005270000,0.799995
0.005280000,0.330519
0.005300000,1.133387
0.005320000,0.799751
0.005330000,0.336279
0.005340000,0.799386
0.005350000,0.339056
0.005370000,1.140624
0.005390000,1.142573
0.005410000,0.797317
0.005420000,0.346974
0.005430000,0.796303
0.005440000,0.349473
0.005460000,1.147029
0.005480000,1.148049
0.005500000,0.792294
0.005510000,0.356543
0.005520000,0.790635
0.005530000,0.358755
0.005550000,1.149711
0.005570000,1.149798
0.005590000,0.784698
0.005600000,0.364954
0.005610000,0.782399
0.005620000,0.366873
0.005640000,1.148659
0.005660000,0.777327
0.005670000,0.370486
0.005680000,0.774554
0.005690000,0.372180
0.005710000,1.145422
0.005730000,1.143878
0.005750000,0.765293
0.005760000,0.376808
0.005770000,0.761895
0.005780000,0.378198
0.005800000,1.137853
0.005820000,1.135382
0.005840000,0.750775
0.005850000,0.381906
0.005860000,0.746762
0.005870000,0.382987
0.005890000,1.126589
0.005910000,1.123200
0.005930000,0.733818
0.005940000,0.385764
0.005950000,0.729205
0.005960000,0.386533
0.005980000,1.111667
0.006000000,0.719534
0.006010000,0.387836
0.006020000,0.714479
0.006030000,0.388370
0.006050000,1.098104
0.006070000,1.093136
0.006090000,0.698449
0.006100000,0.389497
0.006110000,0.692820
0.006120000,0.389714
0.006140000,1.076904
0.006160000,1.071055
0.006180000,0.675096
0.006190000,0.389892
0.006200000,0.668912
0.006210000,0.389794
0.006230000,1.052207
0.006250000,0.656138
0.006260000,0.389358
0.006270000,0.649550
0.006280000,0.389022
0.006290000,0.642831
0.006300000,0.388607
0.006320000,1.024094
0.006340000,0.629003
